Tanggal&Waktu,Username,Tweet
2022-06-13 10:49:46+00:00,paradoxx123,"RT @Oasis_NFTs: 🎁OASIS X Gakko Monkez Giveaway X ShisokaNFT
⏰48hrs

3x OASIS WL spots
3x Gakko Monkez {🐒🌴}  WL spots
2x ShisokaNFT WL spots…"
2022-06-13 10:49:43+00:00,pillow_nft,@ellyoyeah Oalahhh gws kak 🤍
2022-06-13 10:49:42+00:00,whalecancevik,"@cryptoshots_nft @cevik_yenal @No_Loki @Baraqiel_ 
fp1ku.c.wam"
2022-06-13 10:49:28+00:00,dearcryptolord,"RT @legiongodlynft: Nam si Deus peccantibus angelis non pepercit, sed eos in gehennam conjecit, et usque in judicium tenebrarum caliginis n…"
2022-06-13 10:49:13+00:00,WaEmo_nft,"🤯 waemo in opensea 0.02 eth

#NFT #NFTsales #NFTArts #NFTProject #NFTcollections #OpenSeaNFT #openseaartists… https://t.co/hsxpGRuR3T"
2022-06-13 10:49:05+00:00,SOMKIDC0244,"RT @Oasis_NFTs: 🎁OASIS X Gakko Monkez Giveaway X ShisokaNFT
⏰48hrs

3x OASIS WL spots
3x Gakko Monkez {🐒🌴}  WL spots
2x ShisokaNFT WL spots…"
2022-06-13 10:49:04+00:00,pwint14946793,"RT @Oasis_NFTs: 🎁OASIS X Gakko Monkez Giveaway X ShisokaNFT
⏰48hrs

3x OASIS WL spots
3x Gakko Monkez {🐒🌴}  WL spots
2x ShisokaNFT WL spots…"
2022-06-13 10:49:04+00:00,KanyaratSc29,"RT @Oasis_NFTs: 🎁OASIS X Gakko Monkez Giveaway X ShisokaNFT
⏰48hrs

3x OASIS WL spots
3x Gakko Monkez {🐒🌴}  WL spots
2x ShisokaNFT WL spots…"
2022-06-13 10:49:04+00:00,Master_Charuwit,"RT @Oasis_NFTs: 🎁OASIS X Gakko Monkez Giveaway X ShisokaNFT
⏰48hrs

3x OASIS WL spots
3x Gakko Monkez {🐒🌴}  WL spots
2x ShisokaNFT WL spots…"
2022-06-13 10:49:04+00:00,good_day46,"RT @Oasis_NFTs: 🎁OASIS X Gakko Monkez Giveaway X ShisokaNFT
⏰48hrs

3x OASIS WL spots
3x Gakko Monkez {🐒🌴}  WL spots
2x ShisokaNFT WL spots…"
2022-06-13 10:49:04+00:00,thlhiraphong,"RT @Oasis_NFTs: 🎁OASIS X Gakko Monkez Giveaway X ShisokaNFT
⏰48hrs

3x OASIS WL spots
3x Gakko Monkez {🐒🌴}  WL spots
2x ShisokaNFT WL spots…"
2022-06-13 10:49:03+00:00,MINT73136619,"RT @Oasis_NFTs: 🎁OASIS X Gakko Monkez Giveaway X ShisokaNFT
⏰48hrs

3x OASIS WL spots
3x Gakko Monkez {🐒🌴}  WL spots
2x ShisokaNFT WL spots…"
2022-06-13 10:49:03+00:00,CKampandung,"RT @Oasis_NFTs: 🎁OASIS X Gakko Monkez Giveaway X ShisokaNFT
⏰48hrs

3x OASIS WL spots
3x Gakko Monkez {🐒🌴}  WL spots
2x ShisokaNFT WL spots…"
2022-06-13 10:48:42+00:00,Partlyycloudyy,"@cloudgemz @NeonGodsNFT @SkylandNFTs @MTVerse_NFT @moonpromos ☘️ayok menang yok☘️
☘️ayok menang yok☘️
☘️ayok menang… https://t.co/JHQxFmT1vT"
2022-06-13 10:47:42+00:00,Hussle227,"@Raz13Enj @nathan_akin34 @enjin @NFT_Enterprise 0x05D089fDB2B48F509823EFbF8109178549345b10

@c777williams 
@chinny_92
@admoore12"
2022-06-13 10:47:12+00:00,Snice_NFTs,RT @bangji_nft: NINJA DROP https://t.co/ofV5KFjBRy
2022-06-13 10:46:19+00:00,Masihjavady,@mal_nft Gm Man🫡
2022-06-13 10:45:00+00:00,menangin_dong11,@cloudgemz @Dokesi_NFTs DC Dedoang1345 https://t.co/0oc83oer09
2022-06-13 10:42:10+00:00,cibarius_,@ilham_nft Gm Ilham
2022-06-13 10:40:16+00:00,othiliae_nft,@Mismar___ Hatur Nuhun Mas Mismar 🙏🐱
2022-06-13 10:39:29+00:00,jm19951022,@utopia_nfts 0xdf17FaaB2077946CD607ADEBA19b23ceAdF79993
2022-06-13 10:38:53+00:00,gelo_arch,@A_Mashiro_nft @foundation @P_Azuro Kanpai🍻 congrats Mashiro😊
